CellID,CellStage,CellLabel,CellProtocol
x2_S3c_b1.bcGDNT,3.0,pdx1,x2
x2_S3c_b1.bcDTBY,3.0,repl,x2
x2_S3c_b1.bcBFVL,3.0,pdx1,x2
x2_S3c_b1.bcARKN,3.0,repl,x2
x2_S3c_b1.bcDTPM,3.0,repl,x2
x2_S3c_b1.bcIALN,3.0,repl,x2
x2_S3c_b1.bcFMNW,3.0,repl,x2
x2_S3c_b1.bcHIBA,3.0,repl,x2
x2_S3c_b1.bcHXOE,3.0,repl,x2
x2_S3c_b1.bcHXCR,3.0,pdx1,x2
x2_S3c_b1.bcEOLC,3.0,pdx1,x2
x2_S3c_b1.bcFKPP,3.0,repl,x2
x2_S3c_b1.bcHZDW,3.0,pdx1,x2
x2_S3c_b1.bcEWCG,3.0,pdx1,x2
x2_S3c_b1.bcCHYU,3.0,pdx1,x2
x2_S3c_b1.bcDZPT,3.0,pdx1,x2
x2_S3c_b1.bcDOYD,3.0,pdx1,x2
x2_S3c_b1.bcAKXR,3.0,pdx1,x2
x2_S3c_b1.bcFCNJ,3.0,repl,x2
x2_S3c_b1.bcGCME,3.0,pdx1,x2
x2_S3c_b1.bcEJHW,3.0,repl,x2
x2_S3c_b1.bcGWGN,3.0,pdx1,x2
x2_S3c_b1.bcEJDG,3.0,repl,x2
x2_S3c_b1.bcCSDD,3.0,pdx1,x2
x2_S3c_b1.bcFCVI,3.0,pdx1,x2
x2_S3c_b1.bcBYHZ,3.0,pdx1,x2
x2_S3c_b1.bcFQXB,3.0,pdx1,x2
x2_S3c_b1.bcCQSQ,3.0,pdx1,x2
x2_S3c_b1.bcHTLJ,3.0,repl,x2
x2_S3c_b1.bcFCIC,3.0,pdx1,x2
x2_S3c_b1.bcHAHE,3.0,repl,x2
x2_S3c_b1.bcHATN,3.0,pdx1,x2
x2_S3c_b1.bcFLIZ,3.0,pdx1,x2
x2_S3c_b1.bcAHRM,3.0,pdx1,x2
x2_S3c_b1.bcBVWX,3.0,repl,x2
x2_S3c_b1.bcEWGL,3.0,repl,x2
x2_S3c_b1.bcDVOW,3.0,pdx1,x2
x2_S3c_b1.bcFPET,3.0,repl,x2
x2_S3c_b1.bcBCDA,3.0,pdx1,x2
x2_S3c_b1.bcGHOE,3.0,pdx1,x2
x2_S3c_b1.bcALZA,3.0,repl,x2
x2_S3c_b1.bcBZGJ,3.0,pdx1,x2
x2_S3c_b1.bcFRTM,3.0,repl,x2
x2_S3c_b1.bcHGMS,3.0,pdx1,x2
x2_S3c_b1.bcBHZJ,3.0,repl,x2
x2_S3c_b1.bcIBSM,3.0,repl,x2
x2_S3c_b1.bcGDLE,3.0,repl,x2
x2_S3c_b1.bcBMBJ,3.0,repl,x2
x2_S3c_b1.bcDWGZ,3.0,pdx1,x2
x2_S3c_b1.bcGTRA,3.0,pdx1,x2
x2_S3c_b1.bcHKCE,3.0,pdx1,x2
x2_S3c_b1.bcCQTA,3.0,repl,x2
x2_S3c_b1.bcFHRT,3.0,repl,x2
x2_S3c_b1.bcDSIS,3.0,pdx1,x2
x2_S3c_b1.bcDVYD,3.0,repl,x2
x2_S3c_b1.bcAYYN,3.0,pdx1,x2
x2_S3c_b1.bcEDKI,3.0,pdx1,x2
x2_S3c_b1.bcHZAC,3.0,pdx1,x2
x2_S3c_b1.bcBCUF,3.0,pdx1,x2
x2_S3c_b1.bcGYHY,3.0,pdx1,x2
x2_S3c_b1.bcHCWP,3.0,pdx1,x2
x2_S3c_b1.bcDIGK,3.0,repl,x2
x2_S3c_b1.bcCMKZ,3.0,pdx1,x2
x2_S3c_b1.bcDVIU,3.0,pdx1,x2
x2_S3c_b1.bcFLJV,3.0,pdx1,x2
x2_S3c_b1.bcHDHU,3.0,repl,x2
x2_S3c_b1.bcBXUU,3.0,pdx1,x2
x2_S3c_b1.bcIDZA,3.0,pdx1,x2
x2_S3c_b1.bcCDXA,3.0,pdx1,x2
x2_S3c_b1.bcDSCM,3.0,pdx1,x2
x2_S3c_b1.bcGCKA,3.0,pdx1,x2
x2_S3c_b1.bcERHJ,3.0,pdx1,x2
x2_S3c_b1.bcEPLC,3.0,pdx1,x2
x2_S3c_b1.bcFJJG,3.0,pdx1,x2
x2_S3c_b1.bcBDCG,3.0,pdx1,x2
x2_S3c_b1.bcBZYZ,3.0,repl,x2
x2_S3c_b1.bcHEEX,3.0,repl,x2
x2_S3c_b1.bcHZLV,3.0,pdx1,x2
x2_S3c_b1.bcDKCY,3.0,pdx1,x2
x2_S3c_b1.bcCUKE,3.0,pdx1,x2
x2_S3c_b1.bcFZLR,3.0,repl,x2
x2_S3c_b1.bcIGKY,3.0,repl,x2
x2_S3c_b1.bcAXTX,3.0,pdx1,x2
x2_S3c_b1.bcGZLT,3.0,pdx1,x2
x2_S3c_b1.bcCSKO,3.0,pdx1,x2
x2_S3c_b1.bcHAUQ,3.0,pdx1,x2
x2_S3c_b1.bcEHAD,3.0,pdx1,x2
x2_S3c_b1.bcEJHH,3.0,pdx1,x2
x2_S3c_b1.bcAJVJ,3.0,pdx1,x2
x2_S3c_b1.bcCDEE,3.0,repl,x2
x2_S3c_b1.bcHMLP,3.0,repl,x2
x2_S3c_b1.bcEKJU,3.0,pdx1,x2
x2_S3c_b1.bcENYL,3.0,pdx1,x2
x2_S3c_b1.bcEKYW,3.0,pdx1,x2
x2_S3c_b1.bcAIAM,3.0,pdx1,x2
x2_S3c_b1.bcBREE,3.0,repl,x2
x2_S3c_b1.bcHLUW,3.0,pdx1,x2
x2_S3c_b1.bcFPTM,3.0,pdx1,x2
x2_S3c_b1.bcDFWR,3.0,repl,x2
x2_S3c_b1.bcDTMN,3.0,pdx1,x2
x2_S3c_b1.bcDWSO,3.0,pdx1,x2
x2_S3c_b1.bcGSGG,3.0,pdx1,x2
x2_S3c_b1.bcFCCX,3.0,repl,x2
x2_S3c_b1.bcGLSX,3.0,repl,x2
x2_S3c_b1.bcEHNZ,3.0,pdx1,x2
x2_S3c_b1.bcDWQH,3.0,pdx1,x2
x2_S3c_b1.bcCTBQ,3.0,pdx1,x2
x2_S3c_b1.bcEJVO,3.0,repl,x2
x2_S3c_b1.bcCSEE,3.0,pdx1,x2
x2_S3c_b1.bcCNIH,3.0,pdx1,x2
x2_S3c_b1.bcBGCV,3.0,pdx1,x2
x2_S3c_b1.bcCMSC,3.0,repl,x2
x2_S3c_b1.bcBWJC,3.0,pdx1,x2
x2_S3c_b1.bcHRZW,3.0,pdx1,x2
x2_S3c_b1.bcIIQA,3.0,repl,x2
