Gene Symbol,"Expression (tpm)
NKX6.1+ progenitors
(from Stage 5, v8)","Expression (tpm)
Stage 6 SC-beta cells
(all weeks, v8)","Expression (tpm)
Human islet beta cells
(Baron et. al)","log2 fold-change
NKX6.1+ cells
compared to
SC-beta cells","log2 fold-change
NKX6.1+ cells
compared to
islet beta cells","log2 fold-change
SC-beta cells
compared to
islet beta cells"
TCF7L1,187.2788323,4.55441648,1.934065764,-5.361777809,-6.597407183,-1.235629374
DUSP9,48.64890699,1.18539607,1,-5.358966307,-5.604335487,-0.24536918
IFITM2,40.70940537,1,8.496074606,-5.347290243,-2.260493809,3.086796435
ADGRG6,40.55372886,1,1,-5.341762669,-5.341762669,0
MTTP,153.1856783,3.805745278,1,-5.330958609,-7.259137612,-1.928179004
TK1,39.6975081,1,1,-5.310976544,-5.310976544,0
RMI2,52.15162829,1.341369237,1,-5.280933971,-5.704640393,-0.423706421
NFE2L3,172.8787559,4.46083258,1,-5.276303782,-7.433616785,-2.157313003
KIF11,37.98506658,1,2.072213319,-5.247360445,-4.19618792,1.051172525
ITIH2,37.59587532,1,1,-5.232502486,-5.232502486,0
KIAA1217,94.65131343,2.526765307,2.417582205,-5.227258951,-5.290985674,-0.063726723
BCL2L12,90.75940088,2.433181407,2.27943465,-5.221131295,-5.315299131,-0.094167836
NOTCH3,214.5222203,5.802201817,4.282574192,-5.208382802,-5.64650504,-0.438122238
CUX2,36.1947868,1,1,-5.177710013,-5.177710013,0
AIF1L,58.37868838,1.622120938,1,-5.169488508,-5.867369893,-0.697881384
CHRDL1,35.96127205,1,1,-5.168372149,-5.168372149,0
PKNOX2,35.49424254,1,2.901098646,-5.149513121,-3.612913769,1.536599352
HEPH,57.28895287,1.622120938,1,-5.142303679,-5.840185063,-0.697881384
FBN3,35.10505128,1,1,-5.13360673,-5.13360673,0
ID3,660.06837,18.96633712,175.3092468,-5.121102477,-1.912713373,3.208389104
CDC20,34.63802178,1,1,-5.114284633,-5.114284633,0
CDX2,34.56018352,1,1,-5.111038974,-5.111038974,0
KIF20A,33.85963926,1,1,-5.081494698,-5.081494698,0
TEX11,33.62612451,1,1,-5.071510609,-5.071510609,0
IGF2,9818.906195,294.695702,194.7880519,-5.058264396,-5.655585228,-0.597320832
SPP1,33.159095,1,1105.456732,-5.051332727,5.059094116,10.11042684
TRABD2B,33.08125675,1,1,-5.047942138,-5.047942138,0
TTN,33.0034185,1,1,-5.044543562,-5.044543562,0
DNAJC22,32.45855074,1,37.43798729,-5.020526681,0.20590429,5.226430971
NEXN,32.45855074,1,2.417582205,-5.020526681,-3.746961734,1.273564946
UHRF1,37.44019882,1.154201437,1,-5.019621159,-5.226516191,-0.206895032
GINS2,44.05645017,1.372563871,9.463107488,-5.004408065,-2.218967337,2.785440728
SGK1,34.94937478,1.09181217,18.09732965,-5.000470059,-0.949489811,4.050980248
EFNA4,75.03607414,2.37079214,1,-4.984143264,-6.229512443,-1.24536918
KIF2C,31.60232998,1,1,-4.981959024,-4.981959024,0
LTBP1,80.71826647,2.557959941,1,-4.979829615,-6.334823286,-1.354993671
IL32,37.36236057,1.18539607,13.46938657,-4.978144523,-1.471901459,3.506243064
DKK2,31.44665348,1,1,-4.97483459,-4.97483459,0
CENPU,31.21313872,1,1,-4.964081534,-4.964081534,0
SMO,61.95924794,1.996456539,1,-4.955806061,-5.953247728,-0.997441666
KIRREL,31.75800648,1.029422903,1,-4.947212663,-4.989048449,-0.041835786
CLDN6,1012.442133,32.87914363,1,-4.944522919,-9.983623737,-5.039100818
DHRS3,97.29781397,3.181852609,15.33437856,-4.934468478,-2.665637691,2.268830788
ZNF704,86.40045881,2.838711642,1,-4.927730762,-6.432967068,-1.505236307
MCM5,90.99291563,3.025879442,5.042385742,-4.910327813,-4.173575833,0.73675198
SMAD3,64.68358673,2.152429706,6.423861288,-4.909361651,-3.331887033,1.577474618
GFRA1,43.90077367,1.466147771,9.739402597,-4.904143942,-2.172341178,2.731802764
PDGFC,29.6563737,1,1,-4.890270295,-4.890270295,0
TRIM71,94.88482819,3.213047243,1,-4.884163324,-6.568105518,-1.683942194
TACSTD2,37.75155182,1.27897997,4.558869301,-4.883470373,-3.049787995,1.833682378
SOX21,29.34502069,1,1,-4.87504382,-4.87504382,0
TPBG,42.96671465,1.466147771,1.864991987,-4.873117046,-4.525978132,0.347138914
LIN28A,85.07720854,2.932295542,2.210360873,-4.858670275,-5.266418863,-0.407748588
CPS1,49.7386425,1.715704838,6.35478751,-4.857493848,-2.968451342,1.889042506
AMOT,218.4141328,7.611490556,2.417582205,-4.842743397,-6.497357454,-1.654614057
LYPD1,36.66181631,1.27897997,3.246467532,-4.841212686,-3.497335576,1.34387711
MN1,28.64447643,1,1,-4.840185063,-4.840185063,0
WWTR1,35.49424254,1.247785337,1.5196231,-4.83014336,-4.545799573,0.284343787
CRABP2,54.95380533,1.934067272,30.59968334,-4.828509504,-0.844702662,3.983806841
ERBB2,61.10302718,2.152429706,23.07064161,-4.827205828,-1.405185729,3.422020099
VSIG1,35.33856604,1.247785337,4.144426637,-4.823801833,-3.091999069,1.731802764
MPZL2,28.25528518,1,1,-4.820448845,-4.820448845,0
LYPD6,28.17744693,1,1,-4.816468994,-4.816468994,0
C5,39.5418316,1.403758504,3.31554131,-4.816013031,-3.576063364,1.239949668
SPARC,31.60232998,1.123006803,3.591836419,-4.814592357,-3.137237377,1.67735498
SPRY2,104.4589331,3.712161378,6.838303951,-4.814532634,-3.933153514,0.88137912
SLITRK4,28.09960868,1,1,-4.812478134,-4.812478134,0
CDCA7,27.94393217,1,1,-4.804463141,-4.804463141,0
TMEM63A,47.79268622,1.715704838,6.147566179,-4.799916573,-2.958702592,1.841213981
EPHA2,27.78825567,1,1,-4.796403371,-4.796403371,0
ITGA5,27.71041742,1,1,-4.792356538,-4.792356538,0
FAM64A,27.32122616,1,1,-4.771950327,-4.771950327,0
SMIM3,27.24338791,1,1.5196231,-4.767834219,-4.164120671,0.603713548
GYPC,27.16554966,1,1,-4.763706333,-4.763706333,0
HEY1,164.9392543,6.082953518,8.288853274,-4.761018999,-4.314618454,0.446400545
FOXM1,27.08771141,1,7.736263056,-4.759566603,-1.807929751,2.951636852
HHEX,40.00886111,1.497342404,2.417582205,-4.739843489,-4.04868271,0.691160779
NID1,26.38716715,1,1,-4.72176457,-4.72176457,0
CPA2,95.42969595,3.618577477,10.56828792,-4.720943709,-3.174696599,1.546247111
TNFRSF12A,38.52993433,1.466147771,165.5007704,-4.715877304,2.1027863,6.818663604
ATOH1,26.07581415,1,1,-4.704640393,-4.704640393,0
PCLAF,100.4891823,3.868134545,20.51491185,-4.699258416,-2.292295342,2.406963074
EFEMP1,31.44665348,1.216590704,1,-4.691990705,-4.97483459,-0.282843885
CA14,25.84229939,1,1.036106659,-4.691662539,-4.640490013,0.051172525
PRC1,58.76787964,2.27720824,2.693877314,-4.689689716,-4.447271793,0.242417923
MCM6,106.6384041,4.148886246,5.525902183,-4.683859183,-4.270373261,0.413485923
CENPE,25.60878464,1,1,-4.678566881,-4.678566881,0
F2R,25.21959338,1,11.53532081,-4.65647311,-1.128486888,3.527986222
CENPH,33.78180101,1.341369237,4.420721746,-4.654467919,-2.93389241,1.720575509
GATM,339.3747751,13.60086017,2.901098646,-4.641109536,-6.870136174,-2.229026639
KIT,24.90824038,1,1,-4.638551202,-4.638551202,0
RASEF,24.90824038,1,2.141287096,-4.638551202,-3.540072962,1.09847824
DLGAP5,24.83040213,1,1,-4.634035721,-4.634035721,0
PROSER2,24.75256388,1,2.624803537,-4.629506062,-3.237296619,1.392209443
RARRES2,24.51904912,1,1.036106659,-4.615831126,-4.5646586,0.051172525
STAR,24.51904912,1,1,-4.615831126,-4.615831126,0
FSTL1,164.23871,6.706846186,3.799057751,-4.614015875,-5.434008748,-0.819992873
SLC26A3,24.44121087,1,1,-4.611243856,-4.611243856,0
GATA6,124.0741724,5.084725248,1,-4.608889201,-6.955059021,-2.346169821
CASC15,24.28553437,1,16.09419011,-4.602025326,-0.593557252,4.008468074
TTK,23.97418136,1,1,-4.583409648,-4.583409648,0
SLC15A3,23.89634311,1,1,-4.578717953,-4.578717953,0
PDGFRA,23.81850486,1,1,-4.57401095,-4.57401095,0
ERP27,23.74066661,1,1.036106659,-4.56928854,-4.518116014,0.051172525
WTIP,23.74066661,1,11.60439458,-4.56928854,-1.032689187,3.536599352
FANCI,26.6206819,1.123006803,1.588696878,-4.567108954,-4.066631736,0.500477218
RND1,23.35147535,1,7.874410611,-4.545441798,-1.568269854,2.977171944
ESPN,30.59043271,1.310174604,1,-4.54524952,-4.935008609,-0.389759089
ARHGAP8,66.47386651,2.901100909,2.486655982,-4.518114889,-4.740508436,-0.222393546
NTRK2,40.70940537,1.778094105,3.729983974,-4.516958563,-3.448120812,1.068837751
DTX4,52.6186578,2.308402873,1,-4.510607511,-5.717502543,-1.206895032
CHAF1A,29.8120502,1.310174604,1,-4.5080646,-4.897823689,-0.389759089
ST14,85.15504679,3.774550644,109.7582321,-4.495715226,0.366165209,4.861880435
ANXA2,234.9158421,10.48139683,444.766052,-4.486241109,0.920902667,5.407143775
LEFTY2,27.94393217,1.247785337,1,-4.48509338,-4.804463141,-0.319369761
REST,108.8957134,4.866362814,1.450549323,-4.483959469,-6.230204002,-1.746244533
SOCS1,22.26173984,1,41.51334015,-4.476494444,0.899008666,5.37550311
EFNB2,49.03809824,2.214818973,1,-4.46864234,-5.615831126,-1.147188786
GJA1,22.02822508,1,1,-4.46128135,-4.46128135,0
PLD1,44.36780317,2.027651173,9.394033711,-4.451631737,-2.239696445,2.211935291
MECOM,60.40248292,2.776322375,1.381475546,-4.443360852,-5.450325925,-1.006965073
CDC42EP1,65.15061624,2.994684809,1.934065764,-4.443302753,-5.074070068,-0.630767315
TYRO3,55.57651134,2.557959941,10.98273059,-4.4414097,-2.339238486,2.102171214
SALL4,426.8649695,20.02695466,3.039246201,-4.413764809,-7.133922415,-2.720157605
CDK2,33.85963926,1.590926305,6.078492401,-4.41162769,-2.47778115,1.93384654
HMGA2,452.1624011,21.3683239,3.729983974,-4.403295378,-6.92152779,-2.518232412
WDR72,21.09416607,1,1,-4.398772149,-4.398772149,0
LGI2,42.03265564,1.996456539,19.27158386,-4.395997038,-1.125035463,3.270961575
