Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
CA6,0,0.1,0.1,0.1,0,-160.9466605,-155.1009109,-160.9466605,1.33075E-06,0.072467969
GJA4,-3.453566238,1.039479432,0.1,0.1,0,-2775.857774,-2770.011916,-2775.857774,7.355E-155,0.072467969
LAMA1,-5.228822795,4.990331105,0.1,0.1,0,-10939.32165,-10933.47648,-10939.32165,2.4941E-299,0.07248611
TBC1D16,-0.206218009,0.453709201,0.34747462,0.355273097,0.061974853,-11678.73232,-11672.88847,-11678.73232,7.72418E-09,0.072537829
TAF13,1.435036144,0.26614189,0.633195217,0.767643387,0.293757956,-14651.93162,-14646.08785,-14651.93162,2.01975E-33,0.072537829
ZACN,0,0.1,0.1,0.1,0,-420.9239358,-415.0814251,-420.9239358,0.000733604,0.07258033
TMEM236,0,0.1,0.1,0.1,0,-351.1678025,-345.3252134,-351.1678025,4.1315E-06,0.07258033
CHTF18,-0.786974637,0.189677571,0.1,0.1,0,-1389.568446,-1383.727029,-1389.568446,2.59776E-23,0.072630488
PRR29,0,0.1,0.1,0.1,0,-4887.931658,-4882.091585,-4887.931658,4.10341E-33,0.072696239
MUC19,0,0.1,0.1,0.1,0,-178.8563756,-173.0169112,-178.8563756,0.139762335,0.072716318
TDRD7,-0.300599122,0.170362694,0.1,0.143294395,0.563895758,-4116.095351,-4110.258468,-4116.095351,0.010732218,0.072859035
ADAMTS5,4.344999248,0.1,2.267723524,1.91050261,-0.227990602,-30282.72542,-30276.88972,-30282.72542,2.4941E-299,0.07290198
RMDN2,0,0.1,0.1,0.1,0,-1364.05026,-1358.214636,-1364.05026,0.326249452,0.07290198
NET1,-1.883568423,0.633367611,0.253872088,0.126536868,-0.961248519,-9188.035609,-9182.20138,-9188.035609,4.6408E-63,0.072971158
SPEF1,0,0.1,0.1,0.1,0,-2791.87238,-2786.038784,-2791.87238,6.11361E-41,0.072992826
GPR162,0,0.1,0.1,0.1,0,-3473.47983,-3467.647209,-3473.47983,9.84617E-45,0.073035931
PRELID3A,-0.425563901,0.126686273,0.1,0.1,0,-935.557305,-929.7272265,-935.557305,3.26964E-12,0.073176856
SLC2A5,0,0.1,0.1,0.1,0,-143.8887894,-138.0613786,-143.8887894,0.065385442,0.07332589
PENK,0,0.1,0.1,0.1,0,-350.4987837,-344.6719396,-350.4987837,0.001442078,0.073343583
SAMD9,0,0.1,0.1,0.1,0,-547.9853101,-542.1615993,-547.9853101,3.81475E-11,0.073522159
RPS27,-1.213499601,28.78222281,12.48086762,11.29124177,-0.136026302,-67896.87629,-67891.05355,-67896.87629,2.4941E-299,0.073565546
PITPNB,0.486860713,0.463096835,0.53562678,0.769070282,0.516958026,-15786.30468,-15780.48231,-15786.30468,6.66391E-17,0.073570725
IFITM2,-3.067263245,1.084698622,0.1,0.1,0,-3082.836494,-3077.01641,-3082.836494,5.0397E-138,0.073661094
TPGS1,1.838000141,0.11864765,0.319772058,0.432192319,0.414000559,-6843.138166,-6837.318087,-6843.138166,4.08323E-21,0.073661094
TBRG1,1.251491086,0.156916508,0.217628534,0.431348074,0.926788422,-6320.689518,-6314.869383,-6320.689518,0.000125374,0.073661094
DLX6,0,0.1,0.1,0.1,0,-845.9840988,-840.164531,-845.9840988,1.34051E-15,0.073675428
C8G,0,0.1,0.1,0.1,0,-276.5294478,-270.7103491,-276.5294478,0.055987575,0.07368709
CWC27,0.00677949,0.550779804,0.631481262,0.417895533,-0.564182037,-13742.92146,-13737.10336,-13742.92146,8.0546E-14,0.07373163
TGDS,0.329167343,0.119358369,0.218573167,0.110404249,-0.950650616,-4018.696633,-4012.879205,-4018.696633,0.272222782,0.073738711
CHRNA1,0,0.1,0.1,0.1,0,-1418.204582,-1412.386876,-1418.204582,4.09868E-37,0.073738711
VASH2,-0.474934991,0.1,0.1,0.1,0,-6901.759208,-6895.9421,-6901.759208,1.934E-150,0.073741019
FAM212A,0,0.1,0.1,0.1,0,-115.0578904,-109.2415743,-115.0578904,0.004946322,0.073773022
PQLC2L,0,0.1,0.1,0.1,0,-221.9057324,-216.0898911,-221.9057324,0.21186819,0.073785081
NACAD,1.309099146,0.1,0.149376712,0.316816845,1.002182478,-5157.112871,-5151.298199,-5157.112871,5.22177E-61,0.073840869
SF3A2,-0.55614588,0.346313427,0.137945909,0.30374109,1.066665981,-8488.457833,-8482.644135,-8488.457833,0.000124814,0.073884435
NUBPL,0,0.1,0.1,0.1,0,-395.804253,-389.9932082,-395.804253,0.019133883,0.074034008
MAP7D1,0.826664945,0.823426638,1.149984827,1.672991989,0.498370869,-23763.80771,-23757.99704,-23763.80771,8.3542E-38,0.074039648
ST5,-0.07347487,0.877303702,0.497749448,0.852511743,0.724085422,-12208.40637,-12202.59629,-12208.40637,1.48065E-16,0.074059219
ACKR1,0.818203905,0.1,0.220565942,0.158517933,-0.443116394,-2890.678012,-2884.871295,-2890.678012,4.08697E-37,0.074254077
AMHR2,-2.648297911,0.940942316,0.1,0.1,0,-4255.417027,-4249.610955,-4255.417027,2.75841E-75,0.074277068
NDUFB6,-0.251960998,0.639459763,0.59341771,0.606492644,0.041852951,-14044.32694,-14038.52234,-14044.32694,2.15771E-14,0.074336553
KIF11,-2.64549561,0.781787048,0.1,0.1,0,-3094.75519,-3088.950622,-3094.75519,2.0556E-120,0.074336553
TEX261,0.269050563,0.206515655,0.227111081,0.239148045,0.145284781,-6661.595591,-6655.792062,-6661.595591,0.117677782,0.074384506
CYP7B1,0,0.1,0.1,0.1,0,-223.4540024,-217.6519071,-223.4540024,0.108680802,0.074457589
AIF1L,-3.206864954,1.07178664,0.1,0.1,0,-5112.734279,-5106.933109,-5112.734279,5.5424E-153,0.074497463
LRRC31,0,0.1,0.1,0.1,0,-332.2560958,-326.4551931,-332.2560958,0.005846795,0.074497463
SORCS1,0.011258633,0.379192615,0.209356328,0.36891718,0.7899966,-2593.841762,-2588.041836,-2593.841762,1.23707E-45,0.074541566
LPP,-0.423722361,1.981696561,1.314052762,1.259715368,-0.029567764,-19355.2958,-19349.49647,-19355.2958,7.25687E-51,0.074561141
NLGN4Y,-0.078065732,0.231101702,0.26084755,0.17331363,-0.670072312,-4584.988876,-4579.189976,-4584.988876,1.50819E-18,0.074570967
CDH18,0.724346133,0.1,0.246794855,0.117222966,-1.071105128,-4046.412668,-4040.61513,-4046.412668,2.20167E-67,0.07463963
GSTCD,-1.704203417,0.240216144,0.113306893,0.1,-0.204590702,-5420.670638,-5414.874292,-5420.670638,8.61847E-15,0.074685995
ADHFE1,0,0.1,0.1,0.1,0,-1003.037691,-997.2414451,-1003.037691,1.93628E-05,0.074685995
TRPS1,2.960982732,0.145827161,1.28616033,1.532398491,0.244343637,-12104.35687,-12098.56354,-12104.35687,1.861E-207,0.074835745
IL1R1,0,0.1,0.1,0.1,0,-530.0709195,-524.2773342,-530.0709195,3.77999E-05,0.074835745
FGF11,1.447417712,0.1,0.192255446,0.54001743,1.296141595,-4443.705202,-4437.917451,-4443.705202,3.16867E-27,0.075138666
SAMD12,0,0.1,0.1,0.123638339,0.272722323,-2054.533093,-2048.745256,-2054.533093,2.98264E-05,0.075138666
CXCL11,0,0.1,0.1,0.1,0,-247.5277895,-241.7399427,-247.5277895,0.000536583,0.075138666
NDUFS4,-0.397934767,0.539883058,0.234842519,0.455175747,0.887498305,-9496.229473,-9490.442711,-9496.229473,0.000211884,0.07516211
ZNF57,0,0.1,0.1,0.1,0,-523.5522805,-517.7653581,-523.5522805,0.063466003,0.07516211
SEPT9,-0.633126609,3.848569045,1.887506325,2.505522736,0.38437004,-34927.38051,-34921.59397,-34927.38051,3.37975E-23,0.07516211
PHF2,0.637274331,0.34727067,0.607311138,0.557432733,-0.108510967,-14288.12568,-14282.33958,-14288.12568,3.94798E-27,0.075172051
FMR1,-1.020292712,0.392784707,0.141896748,0.205391115,0.541464146,-7695.657158,-7689.8724,-7695.657158,6.16138E-15,0.075204244
IL4R,-1.707252146,0.326446381,0.1,0.1,0,-3452.821068,-3447.035753,-3452.821068,9.63744E-43,0.075204244
PARP12,0.138981936,0.1,0.1,0.174971734,0.763462926,-1060.493316,-1054.708398,-1060.493316,5.29301E-31,0.075204244
TM6SF2,0,0.1,0.1,0.1,0,-1385.730434,-1379.946886,-1385.730434,0.032128549,0.075263739
CASP6,-1.17555947,1.019747976,0.39910634,0.415747212,0.107340716,-13025.96725,-13020.18704,-13025.96725,1.03295E-17,0.075459948
WDR6,0.602049758,1.251411115,1.435085404,1.846493399,0.345094341,-24828.83865,-24823.05914,-24828.83865,5.60723E-24,0.075480313
BIRC6,0.796088794,0.71179339,1.608633561,1.342421406,-0.271696824,-23452.43676,-23446.65742,-23452.43676,3.7095E-16,0.075480313
HLF,0,0.1,0.1,0.1,0,-271.119527,-265.3409464,-271.119527,6.79951E-08,0.07551078
SENP1,-0.729070981,0.395630945,0.342141191,0.156342413,-1.056661724,-7451.213015,-7445.434733,-7451.213015,3.08071E-09,0.075511947
C2orf81,0.44898654,0.1,0.1,0.181338712,0.722537786,-4151.02929,-4145.25154,-4151.02929,1.04989E-07,0.075528077
SYT5,3.599651587,0.1,0.951915455,1.424020163,0.511741854,-16365.16516,-16359.38775,-16365.16516,2.4941E-299,0.075531703
TMEM117,-0.022354215,0.1,0.1,0.1,0,-776.3308773,-770.5562011,-776.3308773,4.62513E-22,0.075689994
PNPLA8,0.851485223,0.275427959,0.688750711,0.375690119,-0.819204371,-10604.84999,-10599.07825,-10604.84999,3.77204E-06,0.075861228
COL12A1,0,0.1,0.1,0.1,0,-3687.07182,-3681.300517,-3687.07182,9.4891E-131,0.075871629
APAF1,-0.423732782,0.43821778,0.416469046,0.261315759,-0.632880626,-10605.10879,-10599.33855,-10605.10879,0.012904096,0.075922583
CLIC6,0,0.1,0.1,0.1,0,-1726.95187,-1721.182006,-1726.95187,0.000101493,0.075928447
KLF16,2.292120573,0.1,0.351842026,0.583247646,0.690770173,-9205.149062,-9199.38121,-9205.149062,6.84076E-73,0.076040573
UBE3C,1.09913098,0.528229332,0.938310892,1.221482749,0.381213342,-17425.57605,-17419.80943,-17425.57605,5.66885E-45,0.07608366
ANXA7,1.917559567,0.451778527,2.21372869,1.546211973,-0.471450077,-24596.92348,-24591.15684,-24596.92348,1.6698E-152,0.07608366
ULK2,-0.168545963,0.231238817,0.136132618,0.20841704,0.64753277,-6043.636541,-6037.870799,-6043.636541,0.075053525,0.076104686
SLC35C2,0.069557805,0.307230189,0.317792996,0.476078172,0.459493166,-8796.203063,-8790.437107,-8796.203063,0.009319526,0.076104686
TBC1D9B,-0.309885294,0.713025993,0.349660035,0.661342534,0.869061604,-10891.95066,-10886.18612,-10891.95066,3.17011E-28,0.076164483
SOX8,0,0.1,0.1,0.1,0,-3038.165222,-3032.406133,-3038.165222,0.001142941,0.076500795
SERTM1,0,0.1,0.1,0.1,0,-103.5957651,-97.8370377,-103.5957651,0.791025832,0.076506099
ZNF225,0,0.1,0.1,0.1,0,-1441.072312,-1435.314369,-1441.072312,0.154702595,0.076538967
SNAPIN,-0.800415442,0.69889433,0.297177936,0.423347657,0.510093662,-11158.65111,-11152.8963,-11158.65111,6.77295E-07,0.076725307
SRP68,0.424220138,0.461886634,0.81893054,0.705244202,-0.213889491,-17091.99987,-17086.24544,-17091.99987,3.48463E-11,0.076731644
GTF2IRD2B,-0.046226598,0.1,0.115737941,0.1,-0.179433511,-3157.793497,-3152.040664,-3157.793497,7.84844E-05,0.076817938
CXXC4,1.631982012,0.513493346,2.294112293,2.149176914,-0.083025425,-41035.6284,-41029.87639,-41035.6284,2.4941E-299,0.076853228
PTPN12,-1.647782905,1.508297781,0.568371558,0.455236077,-0.332620082,-19580.96886,-19575.21745,-19580.96886,1.3345E-163,0.076874048
NDUFB10,-0.340737922,1.175136016,0.695431514,1.029509863,0.541291362,-19982.46812,-19976.71701,-19982.46812,0.004303996,0.076875957
JUND,1.473682286,2.03304864,5.118316403,6.093365312,0.240983042,-41527.94378,-41522.19306,-41527.94378,2.4941E-299,0.076882923
IL20RA,1.411630861,0.1,0.143277081,0.360346211,1.245634523,-3245.006864,-3239.257139,-3245.006864,5.1246E-114,0.076929867
CACNA1F,0,0.1,0.1,0.1,0,-174.5738174,-168.8246135,-174.5738174,0.706270289,0.076945751
SNORA62,0,0.1,0.1,0.1,0,-404.7432769,-398.9947823,-404.7432769,0.185639044,0.076955619
FBXL19,0.922659607,0.133012836,0.230926913,0.433258107,0.836090531,-7852.475626,-7846.72695,-7852.475626,0.000449788,0.076955619
TCP11L2,0,0.1,0.1,0.1,0,-592.3182776,-586.5709941,-592.3182776,0.000289555,0.077016723
BRICD5,-0.652463105,0.1,0.1,0.1,0,-1802.742643,-1796.999053,-1802.742643,8.23513E-10,0.077203511
NDRG4,3.027417264,0.227866036,1.773218208,2.003716888,0.187306417,-18873.5256,-18867.78227,-18873.5256,6.2018E-276,0.077203511
TM7SF3,-1.35564601,0.809660704,0.32978309,0.232214569,-0.500738,-8207.638994,-8201.895376,-8207.638994,9.05482E-24,0.077203511
HJURP,-1.369830705,0.30493789,0.1,0.1,0,-1550.201688,-1544.458161,-1550.201688,3.37554E-67,0.077203511
ZWINT,-1.230451598,0.186596516,0.1,0.1,0,-1800.61546,-1794.873328,-1800.61546,4.35564E-47,0.077263502
RHCE,0,0.1,0.1,0.1,0,-202.1995796,-196.4602289,-202.1995796,0.019258241,0.077428341
VEGFB,0.444955129,0.629773498,0.627610441,0.834270196,0.376024257,-13326.00792,-13320.27,-13326.00792,1.4246E-126,0.077504876
PGAP3,-1.086397109,0.311316977,0.213126802,0.1,-1.05009,-4733.821153,-4728.084304,-4733.821153,1.17448E-09,0.077550474
ACADS,0,0.108587781,0.1,0.1,0,-1592.957185,-1587.220522,-1592.957185,1.55225E-06,0.077550474
CERKL,2.336442402,0.1,0.588571913,0.462053243,-0.360107591,-9424.290863,-9418.554758,-9424.290863,7.6065E-209,0.077568901
GPI,1.271387739,0.749783749,1.588888908,2.218883278,0.455578282,-23578.12668,-23572.39134,-23578.12668,5.4427E-125,0.077600817
SHPRH,-0.428574916,0.64624052,0.592669882,0.379432183,-0.629896524,-12590.88032,-12585.14674,-12590.88032,4.76542E-17,0.077699001
MESDC1,-0.412490343,0.317934753,0.239596217,0.191367838,-0.322193287,-7228.491897,-7222.759258,-7228.491897,0.306567581,0.077724445
DNAL1,0.625486592,0.202853944,0.256005472,0.327942756,0.374128292,-9984.551543,-9978.818869,-9984.551543,4.74093E-20,0.077724445
MYC,-1.489096055,0.25466871,0.1,0.1,0,-4129.93735,-4124.205989,-4129.93735,5.20668E-98,0.077790609
TMEM106A,0,0.1,0.1,0.1,0,-971.4361551,-965.705852,-971.4361551,9.6497E-05,0.077842268
NDUFS2,0.759037297,0.874068726,1.192723535,1.680663939,0.4598248,-23776.53389,-23770.80498,-23776.53389,8.43643E-14,0.077892424
BBS2,-0.508700047,0.214536698,0.234202703,0.209591034,-0.17422129,-6966.682945,-6960.953969,-6966.682945,0.068553871,0.077892424
TET1,-1.565075687,0.853429953,0.511322708,0.355120199,-0.512518189,-15670.01872,-15664.2909,-15670.01872,1.3785E-71,0.077892424
PFDN6,0.429280411,0.2676014,0.331925305,0.484134295,0.526740541,-10110.66385,-10104.9352,-10110.66385,0.102484079,0.077892424
USMG5,-0.118441515,1.716578669,1.622418836,1.672678568,0.06647972,-29724.06743,-29718.33949,-29724.06743,0.217730117,0.077892424
CLCN3,1.170364288,0.548368103,1.925316234,1.432985901,-0.430412087,-20996.15037,-20990.42238,-20996.15037,9.53811E-36,0.077892424
STK33,0.156080157,0.143421066,0.111757974,0.190935678,0.723930332,-8323.35057,-8317.62297,-8323.35057,7.51794E-23,0.077892424
PEMT,1.603129503,0.385134479,1.098754781,1.083665334,0.006349588,-21300.79049,-21295.0667,-21300.79049,5.0449E-188,0.078126662
CD44,0,0.1,0.1,0.1,0,-1142.161977,-1136.438866,-1142.161977,6.13228E-14,0.078153655
TRAK1,1.666752138,0.560773776,1.576514214,1.934259728,0.267998251,-23444.50098,-23438.77828,-23444.50098,2.35825E-61,0.07816204
CETN3,-0.658767713,0.295713503,0.278597983,0.160769252,-0.735851815,-10296.53268,-10290.81362,-10296.53268,7.43507E-21,0.078387038
DHX40,0.524496551,0.385818913,0.797531224,0.505004875,-0.623649904,-17530.14163,-17524.42421,-17530.14163,4.4502E-42,0.078478034
TLE6,0.723483402,0.127040815,0.211851969,0.247413873,0.163252911,-7705.690698,-7699.975038,-7705.690698,1.44982E-22,0.078569915
INPP4B,0,0.1,0.1,0.1,0,-986.3613229,-980.6458407,-986.3613229,0.026033972,0.078569915
SETBP1,1.295063752,0.432470455,1.339364685,1.324115132,-0.002350409,-24728.88384,-24723.17089,-24728.88384,1.50978E-95,0.078720442
BIVM,1.556728233,0.151572488,0.39816192,0.521751021,0.392355889,-9970.485992,-9964.773796,-9970.485992,2.29822E-19,0.078734162
RORB,0,0.1,0.1,0.1,0,-662.8047611,-657.0922957,-662.8047611,1.05556E-18,0.078734162
MAP3K21,-1.557641569,0.455522088,0.1,0.1,0,-2631.199163,-2625.488763,-2631.199163,1.18057E-19,0.0788174
C4orf50,0,0.1,0.1,0.137319201,0.403049286,-1267.768222,-1262.057669,-1267.768222,1.66035E-33,0.0788174
FBXO17,0.21623599,0.1,0.127961013,0.119423219,-0.293277913,-1240.980418,-1235.271144,-1240.980418,3.05075E-20,0.078874341
PLAC8L1,0,0.1,0.1,0.1,0,-422.6920363,-416.9830773,-422.6920363,0.01498477,0.07887689
ADCY4,0,0.1,0.1,0.1,0,-308.402848,-302.6965719,-308.402848,0.004498747,0.079038537
PITRM1,1.176079508,0.127817327,0.317675256,0.450975563,0.483725037,-10130.23965,-10124.53564,-10130.23965,2.40262E-27,0.079172586
HDHD3,-1.916481961,0.949369576,0.127553709,0.229409679,0.804711287,-7372.04894,-7366.346156,-7372.04894,1.37235E-33,0.079236312
RPL14,-1.093027841,13.98622625,5.916486761,6.491632191,0.132133453,-56225.68834,-56219.98611,-56225.68834,1.7274E-241,0.079254959
RNF141,-1.496322042,0.772755405,0.18815776,0.242028159,0.371050355,-9291.866312,-9286.164979,-9291.866312,1.31434E-27,0.07928354
PHF6,-0.399701338,0.710816868,0.613209368,0.688218175,0.117484974,-18404.99837,-18399.29712,-18404.99837,1.58478E-76,0.07928354
TMEM160,-0.058994222,0.273411577,0.12508879,0.289027858,1.144161988,-5524.6046,-5518.905257,-5524.6046,0.000521455,0.079393828
CAPN10,0.569054906,0.184543629,0.23019449,0.368434182,0.678262005,-8302.313927,-8296.615361,-8302.313927,8.04355E-13,0.079408932
BBC3,-1.98326427,1.092054017,0.112348141,0.21138328,0.843371452,-5243.754542,-5238.055797,-5243.754542,1.29625E-37,0.079408932
CFL2,-0.070029364,0.221679153,0.318792027,0.143145766,-1.056601777,-7883.186505,-7877.488254,-7883.186505,0.007035615,0.079411546
DUSP28,0,0.1,0.1,0.1,0,-2546.994465,-2541.296572,-2546.994465,0.004157549,0.079417091
IMPDH1,1.240278693,0.1,0.163112998,0.264707484,0.706293784,-8479.044979,-8473.347828,-8479.044979,4.13035E-65,0.079448459
PDGFRL,0,0.1,0.158974438,0.1,-0.563958775,-1406.343738,-1400.648037,-1406.343738,0.000552078,0.079527848
UNC45A,-0.629481853,0.640312851,0.217583785,0.409892007,0.873211474,-10351.007,-10345.31268,-10351.007,5.76337E-10,0.079603215
ANXA10,0,0.1,0.1,0.1,0,-1793.653954,-1787.961021,-1793.653954,2.86544E-90,0.079677881
ORMDL1,0.315201205,0.641320156,0.961274059,0.721057597,-0.410971048,-16495.12654,-16489.43475,-16495.12654,0.197135307,0.079736629
RAB33B,0.769818723,0.121653237,0.266143693,0.115763323,-1.13904513,-4197.866766,-4192.175384,-4197.866766,0.001066359,0.079745563
C6orf106,0.534718712,0.184786944,0.214355112,0.226551,0.105152499,-6191.505402,-6185.814746,-6191.505402,0.101229727,0.079776159
ZNF182,0,0.1,0.1,0.1,0,-158.6810998,-152.9913538,-158.6810998,0.137958292,0.079819138
NDUFS7,1.281555143,0.362748607,0.698113329,1.066255071,0.584732049,-15773.61279,-15767.92657,-15773.61279,1.53847E-37,0.080021571
NFXL1,-0.741405995,0.271921666,0.216732419,0.138402387,-0.649151131,-6863.901444,-6858.214984,-6863.901444,1.16214E-09,0.080021571
RAP1B,1.429932076,0.170111804,0.482166421,0.434593183,-0.087041724,-8644.637513,-8638.952144,-8644.637513,9.67895E-66,0.08006043
TMSB4Y,0,0.1,0.170855005,0.1,-0.41935166,-634.579224,-628.8945909,-634.579224,6.3236E-09,0.080089076
KIAA0930,0.801686584,0.895222374,1.334192611,1.23188489,-0.083635842,-16320.67182,-16314.98742,-16320.67182,4.37953E-38,0.080089076
TSTD3,0,0.1,0.102242466,0.1,-0.006398908,-2072.12012,-2066.436533,-2072.12012,2.11877E-05,0.080106698
AKAP3,0,0.1,0.1,0.1,0,-385.9389888,-380.2553859,-385.9389888,0.734966322,0.080106698
ANGPT1,0,0.1,0.1,0.1,0,-2429.675558,-2423.992412,-2429.675558,8.3374E-106,0.08011797
F12,0.994775626,0.1,0.1,0.321442364,1.619201301,-2821.539764,-2815.861166,-2821.539764,1.09568E-46,0.080409552
HYMAI,0,0.1,0.1,0.1,0,-137.3493826,-131.6753283,-137.3493826,0.004231577,0.080685066
B3GALT2,0.376883183,0.1,0.657907337,0.1,-2.166617141,-1651.138606,-1645.464581,-1651.138606,3.5739E-34,0.080685066
GLUD1,0.934066816,0.37769212,0.743458025,0.863877647,0.241901817,-16178.06514,-16172.39154,-16178.06514,2.43712E-61,0.080694757
PLPPR1,1.259578996,0.176453213,0.640917547,0.605104807,-0.169169283,-9963.864865,-9958.194682,-9963.864865,3.27025E-20,0.080911077
SLTM,-0.552649891,1.889045148,1.429048854,1.013370402,-0.425983786,-25746.76234,-25741.09314,-25746.76234,4.41409E-06,0.08096018
FGFBP3,-0.750049134,0.134270326,0.1,0.1,0,-2462.190908,-2456.522222,-2462.190908,3.59012E-11,0.080976208
FILIP1,0,0.1,0.1,0.1,0,-162.433091,-156.7668279,-162.433091,0.066151697,0.081094713
LHX1,2.049608293,0.103462873,0.711497628,0.532019273,-0.390250661,-8122.593405,-8116.92754,-8122.593405,1.64077E-59,0.081094713
UGT8,0,0.1,0.1,0.228765441,0.409647418,-632.9626287,-627.2966031,-632.9626287,3.8254E-06,0.081094713
BMF,-4.490902103,2.757513192,0.108409717,0.100380243,-0.129369692,-10896.002,-10890.33553,-10896.002,2.4941E-299,0.081094713
PQBP1,0.245059055,0.366769741,0.287284606,0.599175438,0.960434137,-11048.50135,-11042.83628,-11048.50135,0.348181841,0.081130414
MNS1,-0.351340921,0.119827924,0.1,0.1,0,-4363.778142,-4358.115714,-4363.778142,9.30948E-36,0.081294032
CIPC,0.23738055,0.172155287,0.198837007,0.331093681,0.654779134,-8685.544681,-8679.882543,-8685.544681,0.000107071,0.081295018
XDH,0,0.1,0.1,0.1,0,-864.0550399,-858.3937471,-864.0550399,1.94416E-11,0.08133445
C1orf50,0,0.1,0.1,0.10563903,0.130650534,-3410.488457,-3404.832619,-3410.488457,0.308897813,0.081693298
THUMPD1,0.256603323,0.259813456,0.487215058,0.32933559,-0.554633229,-11096.7062,-11091.05143,-11096.7062,3.33266E-06,0.081748527
TWISTNB,-0.344648421,0.175831121,0.1,0.167464598,0.649932883,-4775.781066,-4770.131877,-4775.781066,5.66051E-07,0.082117722
SLC10A2,0,0.1,0.1,0.1,0,-143.2224566,-137.5741928,-143.2224566,0.521697878,0.082163187
PIH1D1,0.351876768,0.886317793,0.942908342,1.308770593,0.446562821,-23022.78173,-23017.13428,-23022.78173,7.71266E-12,0.082200653
CRTC3,-0.76411004,0.744571399,0.25589214,0.364590686,0.478524463,-7346.515314,-7340.869301,-7346.515314,9.91196E-17,0.082262876
CYP2E1,0,0.1,0.1,0.1,0,-663.1896708,-657.5434257,-663.1896708,0.377181622,0.082262876
HLA-DPB1,-0.005259109,0.1,0.1,0.1,0,-1367.029559,-1361.385756,-1367.029559,0.000325185,0.082359861
AGPAT1,0.842289964,0.548178865,1.072834656,1.049951938,-0.010975337,-16362.09887,-16356.4548,-16362.09887,5.06824E-08,0.082359861
TNFRSF19,-0.81049025,0.171480316,0.1,0.1,-0.003828142,-3884.54061,-3878.896292,-3884.54061,0.002458427,0.082359861
RHPN1,0.308761317,0.213358214,0.153628296,0.278559781,0.772045986,-7015.748494,-7010.105305,-7015.748494,8.55429E-06,0.082383665
CD46,0.23579874,0.843217444,0.890190653,0.848201776,-0.100211526,-15350.92033,-15345.27977,-15350.92033,1.0402E-07,0.082548209
PYM1,0.026257209,0.361771518,0.340544589,0.394571819,0.189901415,-9636.180434,-9630.543746,-9636.180434,0.341654223,0.082782055
SEMA5A,1.217830833,0.1,0.202334631,0.25969536,0.270657963,-5798.085801,-5792.448981,-5798.085801,1.80742E-52,0.082782055
SEC14L6,0,0.1,0.1,0.1,0,-886.6530258,-881.0166255,-886.6530258,3.80335E-06,0.082782954
GK5,0.636702025,0.138019283,0.11788765,0.273189616,1.144623049,-5933.209566,-5927.573727,-5933.209566,7.06969E-12,0.082803179
FBXL16,2.715854895,0.1,0.605114383,0.70582174,0.214677597,-11024.32191,-11018.68722,-11024.32191,1.5887E-248,0.082864983
SEPT6,-0.112059715,0.60650274,0.682307253,0.582292908,-0.2864234,-9313.104804,-9307.470718,-9313.104804,1.29028E-34,0.082888
RIBC1,0,0.1,0.1,0.1,0,-1831.741401,-1826.109152,-1831.741401,5.37796E-11,0.08299815
CLK1,-0.217196533,0.716897959,0.748685357,0.653302027,-0.224358722,-18263.55798,-18257.92775,-18263.55798,1.34157E-24,0.083120937
GPSM3,0,0.1,0.1,0.1,0,-3044.019349,-3038.390211,-3044.019349,5.36304E-06,0.083178944
SLC17A4,0,0.1,0.1,0.1,0,-666.426388,-660.7980822,-666.426388,1.459E-08,0.083186383
TCF7L1,-4.767521923,3.207451136,0.1,0.1,0,-10890.28867,-10884.66011,-10890.28867,2.4941E-299,0.083186383
NOL12,-0.127951041,0.237351128,0.153431453,0.306518465,0.962147868,-7535.364325,-7529.736112,-7535.364325,0.039034103,0.083186383
ABHD13,3.04823362,0.155561339,1.4987972,2.132979985,0.452553238,-26118.26005,-26112.63233,-26118.26005,5.3376E-279,0.083201922
BMP3,0,0.1,0.1,0.1,0,-772.9004931,-767.2736149,-772.9004931,0.409854851,0.08322272
SPPL2B,0.040430672,0.470947972,0.376491875,0.598749845,0.631314752,-13702.27152,-13696.64439,-13702.27152,3.04939E-12,0.08322272
FYN,-0.658504599,1.46027415,1.195377521,0.95837706,-0.30150158,-28645.67558,-28640.05021,-28645.67558,8.7306E-72,0.083310012
SCNN1G,0,0.210373644,0.1,0.1,0,-228.3321388,-222.7081848,-228.3321388,0.000166207,0.083390907
RIMKLB,-2.486352893,0.776296065,0.151275631,0.1,-0.606569095,-6014.148778,-6008.525698,-6014.148778,5.46399E-35,0.083433404
RNU6-1111P,0,0.1,0.1,0.1,0,-105.8217909,-100.2004119,-105.8217909,0.031914652,0.083515306
VPS72,-0.001820934,1.386757478,1.804795344,1.329358939,-0.404272328,-30543.11382,-30537.49232,-30543.11382,3.65116E-50,0.083515306
GMDS,0.07439295,0.19589472,0.199643374,0.220672306,0.20038146,-7624.955307,-7619.33446,-7624.955307,0.019803562,0.083525006
