Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
FOS,0.368471452,85.94177145,118.6193504,-14522.18466,-14620.45944,1.12448E-40
PAM,1.101155147,198.2660479,454.0556005,-23097.01026,-23195.00105,1.48653E-40
CD164,0.491845607,323.5562392,462.7238087,-27135.92652,-27233.52321,2.1927E-40
PGK1,-1.088299003,332.545871,151.3896844,-17231.37481,-17328.29558,4.28107E-40
PLXNA2,-0.908759039,751.898014,382.9643966,-27463.41649,-27560.20224,4.87997E-40
C15orf48,-1.339082453,87.4342567,34.02138099,-8346.841454,-8443.592799,5.03284E-40
ENO1,-0.752348388,811.2644927,465.4812703,-27691.55042,-27787.78872,8.35638E-40
ARID3B,-1.575794255,162.8357986,52.55494756,-10835.34848,-10931.41849,9.84614E-40
CHGA,0.148806113,24101.34565,26518.94848,-64111.70898,-64207.61933,1.15026E-39
FABP7,-1.970275352,71.26270867,18.45258489,-3627.321111,-3722.5227,2.3204E-39
