Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
NETO2,-0.931054302,39.03169595,19.24147826,-4575.455756,-4580.952075,0.030558942
PLEKHB2,-0.406050516,145.3829898,107.4520571,-12719.07825,-12724.57411,0.030566289
THBS2,0,10,10,-140.0949587,-145.5903787,0.030572892
DNTTIP1,-0.247413716,34.02456452,29.42786063,-4533.417638,-4538.91148,0.030611734
TUBB6,0,10,10,-178.5451654,-184.0386845,0.030615132
PELP1,-0.225706762,59.86697325,52.04879627,-7787.604759,-7793.098057,0.030615659
TCTEX1D2,-0.855373687,44.39855384,23.1427154,-4381.679852,-4387.172167,0.030637734
SBF2,-0.21790604,37.75024796,32.12176887,-6290.150046,-6295.642127,0.030638639
TRAM1,-0.156082721,257.2064648,224.5706403,-19630.40771,-19635.89946,0.030642221
NAV3,0.207014509,31.59005155,38.63675288,-5837.332562,-5842.823086,0.030671258
ZNF597,0,10,10,-749.6894016,-755.1793441,0.030681994
F7,0.43351045,12.26218224,16.36659392,-2415.019641,-2420.509013,0.030692434
ITPRIP,0,10,10,-867.7724424,-873.2608974,0.030712683
MKNK2,-0.749804522,46.7077855,26.80328935,-5652.439261,-5657.927194,0.030721768
CAPZA2,0.286306035,222.8601741,276.6871685,-20126.02969,-20131.5172,0.030727994
CASC16,-0.284207726,18.06019323,10,-84.97448737,-90.46170904,0.030730492
ANKRD49,0,10,10,-2228.274663,-2233.757407,0.030851881
MURC,0,10,10,-436.0992866,-441.5789413,0.030934165
SPDL1,-0.601027747,18.24957734,11.9294205,-2596.55245,-2602.031447,0.030947169
MBOAT2,-0.222523848,70.15273507,60.67253581,-9037.657797,-9043.135678,0.030973288
SAP18,0.324137446,211.7280462,271.6399923,-18695.29218,-18700.76962,0.030980223
SNX5,-0.103168203,76.07436311,70.87613675,-7906.715097,-7912.192303,0.030981055
ZMAT3,0.212947518,57.03175278,67.15425279,-9119.115146,-9124.59168,0.030994514
KCTD10,-0.555111858,53.37079742,35.69974033,-6532.404132,-6537.87789,0.031068186
TIMM8B,0.379331008,128.3174463,173.9908672,-14997.56976,-15003.04324,0.031070374
FAM43A,0,10,10,-259.946998,-265.4177175,0.031143776
ADM5,0,10,10,-248.5454625,-254.0148972,0.031174901
SMAD7,0.304106012,10,12.77252498,-1545.799213,-1551.266355,0.031235059
BANP,-0.725657124,22.34163492,12.91993454,-2620.582296,-2626.048701,0.031238948
FAM47E,-0.41679096,21.56069939,15.70968422,-4047.6898,-4053.156569,0.031238948
SHOC2,0.12299789,141.8837219,153.0745805,-15122.65716,-15128.1237,0.031238948
TET1,-0.804904858,35.84850576,19.75445407,-3825.727737,-3831.192008,0.031294644
KRT10,0.177256057,114.5055456,128.7165442,-13572.25648,-13577.72009,0.031308115
ZKSCAN3,0.011301065,17.34530449,17.67991407,-1955.109164,-1960.571494,0.031339067
PDCD11,-0.874021679,28.5318375,14.91958652,-4040.48179,-4045.942854,0.031364825
PRSS2,0,10,10,-239.0319933,-244.4930306,0.031364825
COX7A2L,-0.152938316,411.7495195,366.7744308,-23435.33723,-23440.79658,0.031407577
PKHD1L1,0,10,10,-94.38789466,-99.84365817,0.031506002
ANGEL2,-0.437914721,42.51088937,31.45122449,-4876.622118,-4882.076538,0.031539216
FABP3,-0.072517363,10.57225826,10,-1382.807718,-1388.261433,0.031553871
RAD54L2,-0.113352742,45.13887551,43.10142247,-5950.573045,-5956.026375,0.031559221
PSMD2,0.192145719,99.08879429,116.5284024,-13102.39292,-13107.84561,0.03157201
PRSS16,-0.34519932,13.57430209,10,-1412.782911,-1418.235358,0.031573236
GABARAP,0.949445651,11.09149779,22.42400528,-2470.238313,-2475.689546,0.031599522
KCNMB4,-0.256623553,39.3974547,32.8637524,-4136.214251,-4141.665394,0.031599522
HIF1A,-0.021029634,163.8352455,163.9730595,-16172.46535,-16177.91578,0.031614448
HNRNPH1,-0.240761517,197.6755975,166.3607526,-17068.13605,-17073.58375,0.031688222
FHL3,0,10,10,-144.2788212,-149.725736,0.031699474
ICAM1,0,10,10,-237.3060002,-242.7530321,0.031699474
TAF6,-0.341379381,71.29887744,56.40010473,-8387.660007,-8393.105546,0.031733833
WDR35,-0.579498014,23.6942584,15.96797326,-3435.920542,-3441.36306,0.031816429
ILK,-0.206064256,153.1711621,132.7869967,-14881.439,-14886.88041,0.03184304
DOK3,0,10,10,-260.3127721,-265.753677,0.031852005
NADK2,0.724920419,13.34718495,22.54968882,-3482.363789,-3487.804396,0.03185487
FRMD8,-0.292873911,12.69224358,10,-1533.359838,-1538.798579,0.031899106
PIK3C2A,0.598952766,43.46984391,67.7396985,-7765.651659,-7771.09036,0.031899106
GALNT14,0.335388836,29.60762972,39.86671954,-4641.638242,-4647.07596,0.031916237
TGFB3,0,10,10,-426.0613417,-431.499167,0.031916237
PHYHIP,0,10,10,-114.5869962,-120.0244944,0.031916814
C1orf127,0.874823154,10.52801537,20.47135277,-3479.665656,-3485.099678,0.032013305
POLR1C,-0.933523114,23.35822302,11.36283662,-2502.6438,-2508.075483,0.032076467
AP2A2,-0.25207349,196.9468737,164.6753899,-15814.431,-15819.86197,0.032091532
TFAP2A,0,10,10,-579.7849666,-585.2154333,0.032100615
ARHGAP39,-0.967202559,21.22657815,10,-2092.132518,-2097.561127,0.032149697
RIMKLB,-0.811761716,25.67729822,14.26741154,-3520.166149,-3525.594422,0.032153722
MX2,0,10,10,-1045.043002,-1050.470799,0.032161916
AAAS,-0.016452858,52.91870681,54.31498013,-7049.119067,-7054.546478,0.03216743
PRRG2,-0.108228044,11.18986514,10.23938542,-2756.911193,-2762.338042,0.032178174
CRIM1,0.403060442,21.82933546,28.29765306,-3853.208607,-3858.634768,0.032186731
SLC17A5,0.419150545,32.03561747,43.6297765,-6621.655077,-6627.081374,0.032186731
CALM2,0.068092942,934.4618178,989.1623711,-33739.60966,-33745.03279,0.032270813
SEC63,-0.424060406,175.2186817,125.0399147,-14703.90147,-14709.32414,0.032278573
KMT2C,-0.019987218,86.27918205,85.12330726,-11651.36234,-11656.78328,0.03231814
TM9SF2,-0.243199354,429.8816214,355.5793676,-24848.6881,-24854.10911,0.03231814
NDUFA4L2,0,10,10,-177.8619458,-183.279711,0.032400888
SCOC,-0.161249765,319.2932358,283.8474727,-20677.37244,-20682.79026,0.032400888
RFC5,0,10,10,-839.1474985,-844.5642875,0.032424082
CEP78,-0.186751428,17.22143314,14.61756731,-3647.037408,-3652.453702,0.032432905
ALDH2,-0.407509593,154.3698935,113.8395883,-13820.40262,-13825.81866,0.032434569
ATP5G1,0.278130239,161.772008,202.1735854,-17131.72659,-17137.14112,0.032467766
C17orf98,0,10,10,-155.6096901,-161.0242597,0.032467766
RAD17,-0.455028013,87.96801245,63.19426336,-8760.098216,-8765.508813,0.032579635
MAPK13,0,10,10,-667.6315449,-673.0413913,0.032596182
NUDT6,0,10,10,-1049.213058,-1054.622403,0.032605255
FAM117B,-0.414126625,94.02281218,69.24301721,-8565.460524,-8570.867749,0.032657007
SNRPA1,-0.875585081,49.3565388,25.23954462,-5149.083991,-5154.491319,0.032657007
KIAA1191,0.285939258,227.2138294,282.3730107,-19200.79986,-19206.20634,0.032661579
PEX11A,-0.363153504,13.44958372,10,-1309.534934,-1314.941217,0.032661579
PTGR1,0.081976808,10.43708262,10.68728773,-2349.219291,-2354.626078,0.032661579
ZNF280C,-0.832081771,18.41395171,10,-2407.746133,-2413.152409,0.032661579
ADRM1,0.841313513,26.02545642,50.68534401,-5638.212199,-5643.617424,0.032682226
IREB2,0.131425888,146.7587937,162.2725013,-16064.42831,-16069.8331,0.032682226
STARD10,0.23359878,162.1925841,194.7240307,-17304.60575,-17310.01074,0.032682226
SYNJ2BP,0.225390535,94.37759058,111.2441584,-12260.97543,-12266.38059,0.032682226
GRIN1,0,10,10,-105.8654931,-111.2693128,0.032705472
HSD17B12,0.212805456,41.6103433,48.40280017,-7629.485058,-7634.888683,0.032705472
PLEKHA4,0,10,10,-197.4453067,-202.8462131,0.032781478
BAG3,-0.596787219,33.28844457,20.59345781,-3354.98345,-3360.383796,0.03279239
ARF1,-0.174246713,739.5763828,650.412958,-30023.19759,-30028.5948,0.032877468
TMEM175,0.338221751,10.37251944,13.62272611,-3275.251014,-3280.648149,0.032877468
NR2C1,-0.289551656,25.54925838,21.55813187,-3852.462543,-3857.858816,0.032897595
MSH3,-0.453676905,13.98309177,10,-2618.89015,-2624.285844,0.032909133
RBFOX2,-0.196165343,171.65401,150.1398677,-15843.7531,-15849.14693,0.032959649
BBOF1,0,10,10,-687.2001766,-692.5935502,0.032967449
MKKS,0.053740728,76.40596369,81.49422507,-8749.818949,-8755.211861,0.032975433
DNM1L,-0.082104182,84.06152763,81.30879918,-9739.285459,-9744.677728,0.032988941
TTC29,0,10,10,-149.8232851,-155.2147807,0.033006413
PHIP,-0.07705691,177.1355908,167.3828277,-17125.99318,-17131.38373,0.033029106
API5,-0.200533515,120.0601298,104.2427365,-13052.48918,-13057.87906,0.033043369
LRP1,0.511818285,19.8684413,29.2514946,-3098.859539,-3104.248138,0.033076428
CDT1,0,10,10,-192.7294801,-198.1173948,0.033084194
NPTXR,0.19242734,59.58594698,66.8901457,-7959.35517,-7964.742959,0.033084194
PLPP6,-0.24639368,21.18857667,17.94685035,-4365.664702,-4371.052319,0.033084194
SLFN5,0,10,10,-594.1530976,-599.5406492,0.033084194
MDFIC,0,10,10,-349.2533613,-354.6386257,0.033147901
PBXIP1,0.103132284,28.95888641,30.3404659,-5605.574326,-5610.959334,0.033149693
E4F1,-0.21656649,11.51319721,10,-1884.416733,-1889.799049,0.033217635
FKRP,0.610891563,10,15.89479861,-2156.335818,-2161.718199,0.033217635
PNRC2,-0.036139546,98.55674474,98.36827042,-11540.94411,-11546.3263,0.033217635
FTSJ1,0,10,10,-1054.107333,-1059.489279,0.033218103
TAF3,-0.620450336,38.66633312,24.75270678,-4222.932212,-4228.313991,0.033218103
CCDC80,0,10,10,-108.7435609,-114.1247039,0.033225437
PHF10,-0.47049176,64.6368624,46.21238974,-7566.967836,-7572.349105,0.033225437
SPRED1,0.370278623,10,13.19001867,-1537.778412,-1543.157071,0.033295469
FCGR2B,0,10,10,-506.3013531,-511.6792093,0.033314005
FUT8,0.675043859,37.66504108,62.52738906,-7116.07741,-7121.455067,0.033314047
ZNF430,-0.514640272,14.30136812,10,-2309.452271,-2314.827658,0.033377683
RASA3,-0.362897957,13.56256002,10,-1496.219291,-1501.593433,0.033409862
TJP1,-0.419088499,53.5262271,39.34118913,-7547.097256,-7552.46438,0.03362035
RB1,-0.279219685,70.33029804,58.29583703,-8748.771276,-8754.138084,0.033623986
RUVBL2,-0.021461897,31.54498885,32.58786658,-4776.708851,-4782.07346,0.033686002
WBP4,-0.59832227,74.26924065,46.71451004,-8155.717573,-8161.078221,0.033802895
LIN7A,-0.872169485,20.87092915,11.12760023,-2929.518913,-2934.877618,0.033857238
PTPRD,-0.328214545,24.4680138,19.03684715,-2520.258524,-2525.613458,0.033968826
DTX3L,-0.514465747,14.36677928,10,-2272.616255,-2277.970783,0.033975338
TP53INP2,-0.63609193,41.56711221,26.16100433,-4670.213962,-4675.565714,0.034056059
MYLIP,-0.938207275,23.14184687,11.11935996,-2531.080827,-2536.432333,0.034057595
CFAP206,0,10,10,-566.1203522,-571.4682206,0.034165597
CLPTM1,0.235585,118.5937584,144.0722164,-14694.7482,-14700.09539,0.034180953
LMTK3,0.103914648,20.55092265,23.63360943,-3561.008071,-3566.354672,0.034193052
PCDHB6,0.05489991,10,11.8978019,-206.9754314,-212.3212755,0.034204451
TMEM209,0,10,10,-1530.503141,-1535.84901,0.034204451
TRIO,-0.536386983,84.91320383,57.11056437,-8941.480976,-8946.823857,0.03429162
ECHDC3,-0.676293727,34.00306144,20.96079839,-4152.299803,-4157.642252,0.034299038
RHBDD1,0,10,10,-1955.358864,-1960.699962,0.034335493
NAIP,-0.372621844,14.9173709,11.5443385,-3288.513156,-3293.850824,0.034433156
RPL22L1,-0.493733898,82.96447752,57.7374452,-9045.650066,-9050.987683,0.034433156
SRP19,0.015288863,131.232614,131.1442497,-12162.38459,-12167.72191,0.034436264
GUK1,0.416269602,126.236912,175.5159951,-14506.71798,-14512.0507,0.034569792
NOTCH2NL,-0.89366475,18.74048763,10,-2899.895559,-2905.228345,0.034569792
ZNF37A,0,10,10,-276.5155912,-281.845452,0.034654645
ITPRIPL1,0,10,10,-106.5708806,-111.8992052,0.034697377
DUSP13,0,10,10,-125.6247446,-130.9523357,0.034714509
YPEL3,-0.00620204,72.40218586,73.8269161,-7886.704898,-7892.030613,0.0347682
TMEM117,0,10,10,-724.4916532,-729.8157891,0.034812432
EEF1E1,-0.893608007,41.55110538,20.92014159,-5199.260492,-5204.58371,0.034822909
FBXO44,0.144251882,14.96771189,16.41711886,-3783.840167,-3789.163694,0.034822909
RASSF1,-0.16108016,11.62176065,10,-1362.361231,-1367.684607,0.034822909
IRF6,-0.947820721,20.40438447,10,-2076.072315,-2081.395164,0.034828451
VASP,-0.176556053,43.05310058,39.09502577,-6363.301098,-6368.621454,0.034902081
R3HDM2,-0.300217187,22.96746921,19.17757302,-3937.441994,-3942.758434,0.035021727
DNAH9,0,10,10,-1040.770985,-1046.082413,0.035177223
WDR5,-0.430154256,44.32655145,33.02965203,-5624.565256,-5629.876145,0.035188314
MFHAS1,-0.54014981,29.34355141,20.10107408,-4455.328341,-4460.636335,0.035275775
MORF4L1,0.105385933,1363.167416,1469.069824,-36753.64372,-36758.94991,0.035327883
ZBTB44,-0.240828339,110.4311744,92.14892209,-12356.17469,-12361.47981,0.035356249
ABCA4,0,10,10,-94.5711838,-99.87415259,0.035419972
FAM192A,-0.389617099,69.99995676,52.75143825,-7004.810654,-7010.112913,0.035430283
GALE,-0.806590367,24.42610603,13.62621995,-3545.550601,-3550.852911,0.035430283
KCTD15,0,10,10,-1760.275113,-1765.576655,0.035447262
DDX56,-0.018893709,33.055159,34.02825331,-4619.931394,-4625.231778,0.03547593
ENPP5,0.355569512,12.66034452,15.74304839,-3032.613986,-3037.914257,0.03547593
PPP2R5A,-0.535576061,40.56105568,27.70626919,-5438.102712,-5443.400499,0.035550637
SRR,0,10,10,-1522.107306,-1527.403048,0.035611133
WASHC1,-0.401948022,21.50786217,16.39220218,-3963.496963,-3968.791989,0.035628157
B3GNT2,0,10,10,-2002.471128,-2007.76481,0.035665774
LCMT1,0.330151383,83.79752354,110.4212,-10538.70301,-10543.99601,0.035681914
GLTPD2,0,10,10,-212.2293672,-217.5202936,0.035743386
IGBP1,0.214022758,95.29266468,109.8233102,-10877.39928,-10882.68982,0.035749606
PRPF4B,-0.460279404,62.40498596,43.210462,-7959.81863,-7965.108613,0.035761499
ATP7B,-0.484008479,15.68648018,11.26509291,-2444.636729,-2449.926011,0.035778144
SUGT1,-0.36139734,100.2974583,77.5778091,-10142.16987,-10147.45846,0.035794339
RBM42,-0.398059154,75.04678951,56.59777209,-8829.846513,-8835.128764,0.035997198
MIR663AHG,0,10,10,-165.4981477,-170.7779545,0.03607171
APRT,-0.333968514,78.00902523,60.39450326,-7674.99726,-7680.276694,0.036077593
TRIM26,0.865969243,21.6949397,41.53820236,-4724.111798,-4729.390885,0.036082605
SH3BP5L,-1.020996146,29.42285564,13.29716362,-3026.06458,-3031.341854,0.036136289
CHRAC1,0.753566601,17.49937709,30.08170449,-3713.854357,-3719.130447,0.036169127
TATDN2,-0.362675497,37.43735161,29.40661787,-5330.727579,-5335.998186,0.03634539
PAFAH1B2,-0.078802703,403.9914656,384.8302321,-24747.5969,-24752.86674,0.036364449
EME2,0,10,10,-1040.878942,-1046.148097,0.036380818
VPS72,0.082103212,172.6325928,181.4716359,-16858.17676,-16863.44405,0.03643647
WNT5B,0,10,10,-266.9419709,-272.2089285,0.036441286
WIPF2,-0.251698226,143.3930477,120.1824802,-13689.43463,-13694.70087,0.03645872
PIGK,-0.696416958,37.17104112,22.44153974,-4303.341976,-4308.606987,0.036493423
C2CD4D,0,10,10,-655.4748128,-660.7395017,0.036497669
ALPK3,-0.482644319,50.05479078,34.68588216,-5050.175514,-5055.439933,0.036500149
GP1BB,0,10,10,-468.361767,-473.625093,0.036530287
C7orf73,0.25277589,250.4779812,301.3017518,-20500.62371,-20505.88649,0.03654219
ACAP1,0.41177931,10,13.2444904,-2086.235063,-2091.497237,0.036555874
TSG101,0.073396886,207.3206635,222.9745968,-17403.55502,-17408.81669,0.036566394
CHSY1,-0.747024692,16.96682932,10,-2170.137887,-2175.397195,0.03663911
HBS1L,-0.672383492,28.32865157,17.59074272,-4036.522973,-4041.781088,0.036672725
SRP68,-0.094895194,78.81828067,75.24074836,-8801.869953,-8807.126847,0.036707343
PPWD1,-0.285684794,19.57699345,15.3416973,-3999.772378,-4005.027121,0.036766783
WBP1L,-0.153902991,24.48173586,22.98091219,-3731.681668,-3736.936469,0.036766783
PHLDB3,-0.08561245,10.44426923,10,-2653.540046,-2658.793545,0.036802238
SUMO1,-0.011682426,187.3827333,188.4550559,-16007.43768,-16012.69067,0.036812583
SGCE,-0.343994414,76.50283636,60.32018469,-8609.535232,-8614.787778,0.036821271
PDZD8,0.40969056,34.00742545,48.14159897,-6542.094317,-6547.344347,0.0368933
SVBP,-0.132347827,238.9512656,212.7649611,-19140.74713,-19145.99719,0.0368933
SMYD4,-0.45694716,14.10085647,10,-1614.914316,-1620.164099,0.036895033
AMT,0,10,10,-110.169587,-115.4189055,0.036904183
GPAM,-0.918806016,20.02657906,10,-2016.93573,-2022.181612,0.037014294
KCTD9,-1.106276847,28.59691178,12.22156935,-3517.335849,-3522.581307,0.037022071
C2orf72,0.97030803,10.08790164,21.37721903,-2558.114199,-2563.357762,0.037079963
GLT8D1,-0.457601649,110.4509675,78.69156667,-10784.38608,-10789.62599,0.037195067
ZNF713,0,10,10,-1043.791011,-1049.030812,0.037195067
PLGRKT,0.554234042,14.76957916,22.4841191,-4121.448546,-4126.688053,0.037198459
ANKFY1,-0.611165486,50.1686973,32.11290055,-6290.696459,-6295.93554,0.037206351
SF3B5,0.03455648,199.8312831,209.3571092,-17693.87473,-17699.11288,0.037231483
PEBP1,-0.036722336,712.9954745,691.2137247,-29736.06577,-29741.30354,0.037237855
MRPL3,-0.010579623,116.8510197,118.3069909,-11588.8195,-11594.05618,0.037268439
STK19,-0.372480251,75.88743278,58.10812298,-7810.956774,-7816.192431,0.037290252
TMEM134,-0.100389224,42.27352,40.82968018,-5688.544052,-5693.779725,0.037290252
SLK,-0.295570352,78.95006415,64.48931834,-9088.252089,-9093.487152,0.037303891
NFYB,-0.44725203,42.25914036,31.0934027,-5140.065774,-5145.299914,0.037328814
RBMS3,0,10,10,-107.6566057,-112.8905532,0.037328814
ZNF536,0,10,10,-154.1262626,-159.3593622,0.037351235
CCDC68,0.662191798,10,16.10570568,-2405.579095,-2410.81048,0.037390051
SMAP1,0.466818219,85.18198488,120.6629357,-11022.81947,-11028.0509,0.037390051
VPS33B,-0.174015003,12.74900882,12.0260755,-2251.969185,-2257.200886,0.037390051
RND2,-0.352415617,58.44148878,46.01665506,-6698.297698,-6703.526883,0.037459035
NKAIN1,0.007590107,13.57319603,14.35696571,-2654.648435,-2659.877321,0.037462675
CPA1,0,10,10,-608.0959024,-613.3244433,0.037467835
BORCS7,0.472144445,77.74651333,110.481853,-10593.84744,-10599.07328,0.037554065
CLASP2,0.113614407,79.96239049,85.90161388,-10766.81597,-10772.04114,0.037570434
SOX12,0.476285923,55.83117181,79.19952109,-8967.944265,-8973.168558,0.037594226
PAX8,0,10,10,-1218.01373,-1223.237097,0.037619509
ADK,-0.642852184,50.26066206,31.27210872,-6171.75235,-6176.972354,0.037729185
CSTF1,-0.304446066,81.99473496,65.25693695,-7734.288167,-7739.507031,0.037761994
N4BP2L1,-0.324440021,13.35012478,10,-1358.261147,-1363.477737,0.037834227
LATS1,-0.134567837,44.3401257,41.54411287,-6515.880257,-6521.096426,0.037842066
ARSE,0,10,10,-487.624009,-492.8356347,0.037984432
MBD5,-0.304866437,36.08824846,28.15225646,-5999.730565,-6004.941871,0.037984432
PLA2G12A,-0.058784337,124.5101921,119.9049535,-14304.44242,-14309.65429,0.037984432
SLC9A1,-0.839352367,30.13026376,16.28949835,-3905.868067,-3911.079511,0.037984432
NACAD,-0.174058509,24.96255528,22.72224783,-4660.807247,-4666.017072,0.038029378
ATG3,0.511018266,46.82857826,67.96950945,-7844.564085,-7849.773223,0.038039838
TSPAN4,-0.250520476,12.32856892,10,-1477.627596,-1482.836743,0.038039838
BTRC,-0.531185127,66.38655735,44.93024389,-7992.670277,-7997.877795,0.038089695
PBRM1,-0.229557274,115.608634,95.12608227,-12694.05409,-12699.25899,0.038174561
CRYGS,0,10,10,-115.6085705,-120.8132318,0.03817617
WDR17,0.309894357,10.02472534,12.81219695,-3019.219972,-3024.417434,0.038422623
SLC16A2,-0.684597161,18.97165736,10.80217829,-3445.349958,-3450.546901,0.038434081
L3MBTL3,0.340632268,10,12.20974128,-2661.659531,-2666.85627,0.038434445
PEAK1,-0.771735716,49.10646003,27.47073185,-4979.441864,-4984.638402,0.038434724
FAM200B,0.440688548,46.39947824,63.73778917,-6576.69944,-6581.895657,0.038438098
RHOXF1,0,10,10,-228.8580863,-234.0541408,0.038438098
AURKB,0,10,10,-121.2363784,-126.4314059,0.03846753
PADI2,0,10,10,-149.1111631,-154.3031547,0.038568075
ATP8B1,-0.334061555,13.56725124,10,-1213.724647,-1218.915729,0.038570418
AXL,0,10,10,-105.2145608,-110.4058803,0.038570418
GZF1,-1.26378936,25.58482842,10,-2823.75732,-2828.948278,0.038570418
MRPL17,0.318855584,90.27009419,113.2041346,-10937.97962,-10943.17078,0.038570418
RAB11A,0.184208994,570.2534136,661.2785353,-29333.54521,-29338.73632,0.038570418
BAG6,-0.450833677,100.1233813,71.51139113,-9689.031474,-9694.2222,0.038571767
ATG2A,-0.253149188,38.52527126,32.84122067,-4694.279353,-4699.469465,0.038586705
CACNA1D,0.527519709,34.414833,50.13069925,-6073.386232,-6078.576106,0.038588296
RCE1,-0.893388807,23.03597917,12.01622595,-3287.189303,-3292.37892,0.038590538
CLIP1,0.052118784,39.19102243,40.84387635,-6889.914995,-6895.104164,0.03859954
NAGLU,0.327956371,28.2723631,36.78360684,-6009.574929,-6014.761906,0.038670465
KIAA1524,0,10,10,-552.7774598,-557.9638274,0.038685263
MTMR10,-0.945164427,19.3863804,10,-2880.638901,-2885.82218,0.038788277
ZBTB7B,-0.870484557,19.95323583,10,-1958.085989,-1963.267936,0.038828853
TXNDC9,0.004109584,27.75655273,29.24613986,-4563.40614,-4568.58658,0.038875709
HOOK3,-0.323458778,69.43878679,53.95689968,-9220.526727,-9225.70332,0.039006338
PLPPR1,-0.343211903,59.62646374,45.90314468,-7916.200586,-7921.375759,0.039050324
DDX59,-0.107868738,13.80802284,13.35104412,-2474.05771,-2479.230688,0.039122181
SLITRK1,0.244504429,10,11.52842115,-2289.543816,-2294.716223,0.039135724
GMDS,0.732514443,15.74404747,27.6265049,-4367.542947,-4372.712572,0.039228863
DDX51,0,10,10,-213.7450946,-218.9105973,0.039370651
EHMT2,-0.204374568,94.00918335,82.36797559,-10766.4187,-10771.58318,0.039400541
PCNX2,0.329265914,28.63494265,35.99374562,-5870.665747,-5875.829027,0.039437087
KCNA4,0,10,10,-178.052485,-183.2146782,0.039469473
SLC41A2,0.84261076,10,18.22292152,-3082.845226,-3088.006414,0.039498921
SAP130,0.014703576,29.38354093,31.18505239,-4862.583034,-4867.743755,0.03950473
TPCN2,0,10,10,-785.6034984,-790.7641405,0.03950473
CXCL16,0,10,10,-1134.034887,-1139.194751,0.039525963
INTS2,0,10,10,-1914.146894,-1919.306067,0.039544066
TMCO6,-0.295653262,12.95123438,10,-1283.056566,-1288.215192,0.039556932
ANAPC10,-0.40029448,15.2234527,11.90929474,-2699.22223,-2704.378502,0.039635472
SMN1,0,10,10,-108.6104792,-113.7640369,0.039727316
TMEM41A,-0.75279084,40.36835894,23.0119743,-4346.426493,-4351.57842,0.039779774
SLC8A3,0,10,10,-288.8207408,-293.9715034,0.03981529
AVL9,-0.350476018,105.3286207,81.16736338,-11231.9362,-11237.08654,0.039816833
SGTA,-0.32580723,27.41663319,22.34498444,-4477.269632,-4482.419972,0.039816833
PDIA5,-0.481435532,22.13509425,14.36940705,-2817.633954,-2822.783288,0.039846416
FAM65A,-0.282718299,101.7652064,83.73422214,-10483.19307,-10488.34183,0.039860285
CDC42BPA,0.162181555,66.27155709,75.91154453,-10112.4914,-10117.63968,0.039870815
STAT4,0,10,10,-236.6919233,-241.8398345,0.03987735
SETD4,-0.812081633,19.78293204,11.13105187,-2880.132564,-2885.279986,0.039888238
FAXC,-0.298112627,71.83080128,58.70844286,-7990.553032,-7995.698034,0.039969839
PINLYP,0,10,10,-1612.029228,-1617.173685,0.039982797
YWHAQ,0.035294786,572.4904306,595.4406786,-28634.15479,-28639.2981,0.040017718
CACTIN,-0.218556553,11.52734459,10,-1891.936895,-1897.079659,0.040030813
TTYH2,0,10,10,-511.171688,-516.3140017,0.040040322
ESRRA,0.94538741,14.27687766,30.60854236,-3673.333647,-3678.472968,0.040143365
APCDD1,-0.950288486,33.6653458,16.49422539,-3668.063631,-3673.202583,0.040149871
ZMAT2,-0.25984409,111.3834641,92.7839262,-10641.11959,-10646.25819,0.040155908
ANKS1B,0.397576741,75.79721553,102.487891,-9303.099252,-9308.237044,0.040178444
PEX13,-0.726342548,45.81142695,26.78501635,-5385.843689,-5390.976947,0.040338856
OPHN1,0,10,10,-902.2648321,-907.3969173,0.040375192
WARS,0.557489768,39.61536699,59.44074672,-6980.988446,-6986.116136,0.040531202
CFAP44,0,10,10,-901.2869821,-906.4140912,0.04053954
PHOX2B,0,10,10,-194.2201016,-199.3471836,0.04053954
TCFL5,0,10,10,-707.0883165,-712.2145731,0.040563108
PAN3,-1.182515362,25.70937295,10.42453476,-3263.210749,-3268.335666,0.040605827
RASEF,0,10,10,-116.7868569,-121.9105542,0.040644156
C1QTNF6,-0.103302674,25.08539605,23.68626293,-5114.770354,-5119.892687,0.04068523
MMP17,0,10,10,-142.477698,-147.5999108,0.04068523
UFC1,0.044040572,212.2952092,219.603201,-19224.7556,-19229.8775,0.040689728
BCAS3,-0.277747821,14.0614292,11.84062429,-2723.84141,-2728.96157,0.040747559
PDK3,0.177391855,10,11.46516081,-1469.280059,-1474.397614,0.040837877
DAPK1,0.270458859,65.61809969,80.47909174,-10047.06968,-10052.18503,0.040909045
SS18L1,-0.036346008,34.69946455,34.7655226,-6231.309486,-6236.42476,0.040909045
PIGC,0.37751386,19.78573524,25.25198154,-4055.852692,-4060.966835,0.040944299
ZBTB37,-0.488751064,13.64738577,10,-2671.349946,-2676.462846,0.040983822
EBAG9,-0.544170153,63.4659664,42.60922802,-7306.526549,-7311.638481,0.041013044
PRNCR1,0,10,10,-991.3343684,-996.4460376,0.041015727
ERMP1,-0.476901485,14.3930143,10,-1869.772641,-1874.884028,0.041019116
ERAL1,-0.451899148,76.14431748,54.98822735,-8408.012365,-8413.123448,0.04102339
DLC1,0,10,10,-378.8748714,-383.9835642,0.04110094
EYS,0,10,10,-1470.961936,-1476.070451,0.04110094
TGFBRAP1,-0.684561638,42.73447751,25.80894713,-5504.700978,-5509.809428,0.04110094
TRA2B,-0.218092842,166.2048955,142.4572747,-15616.65249,-15621.7603,0.041117826
AP5M1,-0.431097547,99.73709415,72.71452078,-10150.32151,-10155.42455,0.041290917
TAF11,-0.528937709,47.11616656,32.35178765,-5888.306367,-5893.408624,0.041313328
